Demand,Avail_Sol,Avail_Wind_On,Avail_Wind_Off,Hyd_In,HydRoR_In
14782.71206,0,0.172957973,0.358262799,0,1323.621539
14782.71206,0,0.18138868,0.390903024,0,1323.621539
14786.81041,0,0.187470799,0.414699093,0,1323.621539
14815.69934,0,0.192720603,0.448116297,0,1323.621539
14788.38388,0,0.202034513,0.469971468,0,1323.621539
14241.47023,0,0.215181345,0.501432043,0,1323.621539
13733.79798,0,0.226128181,0.535617482,0,1323.621539
13467.43372,0,0.253388779,0.613278982,0,1323.621539
13224.14576,0,0.286845274,0.667767302,0,1323.621539
13106.00949,0,0.315421808,0.709737965,0,1323.621539
13089.33686,0,0.340199271,0.704773025,0,1323.621539
13093.05656,0,0.362902384,0.680308431,0,1323.621539
13312.01612,0,0.377005588,0.643050048,0,1323.621539
14468.89537,0,0.39228097,0.602227923,0,1323.621539
14995.35863,0,0.400027598,0.548281201,0,1323.621539
14705.42566,0,0.402326875,0.501513814,0,1323.621539
14601.63839,0,0.397926191,0.471168419,0,1323.621539
14737.96429,0.00015101,0.385050517,0.452728812,0,1323.621539
14718.34915,0.004566233,0.357083877,0.42811884,0,1323.621539
14718.34915,0.017526422,0.318376577,0.38302111,0,1323.621539
14708.51534,0.024499116,0.289813679,0.359892077,0,1323.621539
14708.51534,0.014592896,0.261966409,0.357074267,0,1323.621539
14708.51534,0.003655965,0.232794674,0.363147092,0,1323.621539
14786.70541,8.30E-05,0.20959759,0.369338611,0,1323.621539
14794.25936,0,0.189398666,0.368177011,0,1323.621539
14794.25936,0,0.170863252,0.372806834,0,1323.621539
14814.80203,0,0.154764454,0.367610647,0,1323.621539
14888.42123,0,0.147224336,0.346718595,0,1323.621539
14888.13485,0,0.135528057,0.298271892,0,1323.621539
14363.07006,0,0.122179216,0.268849206,0,1323.621539
13892.45799,0,0.115539483,0.25979675,0,1323.621539
13594.59878,0,0.108489262,0.212161334,0,1323.621539
13418.10553,0,0.108705738,0.205653606,0,1323.621539
13358.96739,0,0.110360438,0.220018117,0,1323.621539
13342.29556,0,0.105656836,0.231131733,0,1323.621539
13346.01606,0,0.103477106,0.249302145,0,1323.621539
13583.38877,0,0.103322822,0.277712599,0,1323.621539
14653.02848,0,0.111618357,0.307991422,0,1323.621539
15205.42782,0,0.114836967,0.333622384,0,1323.621539
14969.378,0,0.118188518,0.369303471,0,1323.621539
14865.58914,0,0.125944832,0.418820285,0,1323.621539
14903.35412,0.000208801,0.13482876,0.461526498,0,1323.621539
14904.10665,0.003868376,0.139313781,0.495705448,0,1323.621539
14904.10665,0.008415824,0.138111223,0.518551918,0,1323.621539
14827.31664,0.012105964,0.15693193,0.575987238,0,1323.621539
14827.31664,0.010497721,0.169711487,0.615014775,0,1323.621539
14827.31664,0.00368128,0.193823968,0.633743379,0,1323.621539
14889.54286,0.000119612,0.214461995,0.648023445,0,1323.621539
14810.70368,0,0.226780726,0.655513038,0,1323.621539
14810.70368,0,0.237349926,0.672751814,0,1323.621539
14814.80203,0,0.249938695,0.699726683,0,1323.621539
14839.1885,0,0.261154725,0.720747553,0,1323.621539
14794.61255,0,0.284132171,0.759376057,0,1323.621539
14269.54617,0,0.30707294,0.784977794,0,1323.621539
13777.85527,0,0.335220866,0.811409087,0,1323.621539
13456.66123,0,0.34260679,0.821517977,0,1323.621539
13231.46345,0,0.381161832,0.825440912,0,1323.621539
13134.52374,0,0.398663281,0.828284683,0,1323.621539
13117.85111,0,0.404333111,0.8223403,0,1323.621539
13121.57082,0,0.410783142,0.819379691,0,1323.621539
13315.27762,0,0.419490038,0.809268946,0,1323.621539
14429.79238,0,0.432138995,0.79298321,0,1323.621539
